NUTS3;Number of heating days;Average temperature during heating period;Number SFH;Number MFH;Appartment per SFH;Appartment per MFH;SHD_SFH;SHD_MFH;HWD_SFH;HWD_MFH;OTH_SFH;OTH_MFH
DEA32;197;5,509581218;19028;18829;1,247056969;6,114796325;20287,09905;54431,6468;1571,766174;6114,796325;6287,064698;18344,38897
DEA33;197;5,509581218;39183;15501;1,180052574;6,555028708;17819,39338;52747,11857;1487,315148;6555,028708;5949,260591;19665,08612
DEA34;197;5,509581218;91919;8671;1,197380302;5,260638911;17565,10676;41739,39558;1509,154677;5260,638911;6036,618709;15781,91673
DEA35;197;5,509581218;53364;5775;1,226463533;5,172554113;17855,14002;40760,77162;1545,810612;5172,554113;6183,242449;15517,66234
DEA36;197;5,509581218;102127;34243;1,248151811;5,55163099;19470,43997;47112,49748;1573,146092;5551,63099;6292,584369;16654,89297
DEA37;197;5,509581218;111696;10303;1,212944062;5,307677376;17876,14581;42412,4316;1528,770936;5307,677376;6115,083743;15923,03213
DEA38;197;5,509581218;64472;8864;1,224345452;5,177967058;18508,64622;42423,22695;1543,141024;5177,967058;6172,564096;15533,90117
DEA41;238;4,198932073;42881;18789;1,268417248;5,855420725;24027,34111;60097,95229;1598,688252;5855,420725;6394,753007;17566,26217
DEA42;238;4,198932073;75434;13018;1,256873558;5,125864188;22647,68029;49890,63721;1584,138812;5125,864188;6336,555247;15377,59256
DEA43;238;4,198932073;56869;8875;1,338022473;5,308;25155,85872;54776,73434;1686,417314;5308;6745,669255;15924
DEA44;238;4,198932073;37728;4096;1,250450594;4,811279297;23710,54059;49843,88571;1576,043433;4811,279297;6304,173732;14433,83789
DEA45;238;4,198932073;78013;14249;1,29504057;5,184890168;24580,18127;53506,80468;1632,243766;5184,890168;6528,975063;15554,6705
DEA46;197;5,509581218;73868;9280;1,270022202;4,981142241;19753,32703;42495,87071;1600,711104;4981,142241;6402,844418;14943,42672
DEA47;197;5,509581218;60001;11426;1,257979034;5,533738841;18350,70114;43619,92697;1585,532131;5533,738841;6342,128525;16601,21652
